wichyem,,8th; eighth,,number,,numbers,order,,,,
naevyem,,9th; ninth,,number,,numbers,order,,,,
peeyek,,1,,number,,numbers,,peeyak,“hen” is another word for “one”,,
hen,,1,,number,,numbers,,,“peeyek” is another word for “one”,,
deu,,2,,number,,numbers,,,,,
trwaa,,3,,number,,numbers,,,,,
kaat,,4,,number,,numbers,,kaatr; kaet; kaetr,,,
saeñk,,5,,number,,numbers,,,,,
sis,,6,,number,,numbers,,,,,
set,,7,,number,,numbers,,,,,
wit,,8,,number,,numbers,,,,,
naef,,9,,number,,numbers,,neuf,,,
jis ,,10,,number,,numbers,,,,,
ooñz ,,11,,number,,numbers,,,,,
dooz ,,12,,number,,numbers,,,,,
treez ,,13,,number,,numbers,,,,,
katoorz ,,14,,number,,numbers,,,,,
kaeñz ,,15,,number,,numbers,,,,,
seez ,,16,,number,,numbers,,,,,
jiset ,,17,,number,,numbers,,,,,
jiswit ,,18,,number,,numbers,,,,,
jisnaef ,,19,,number,,numbers,,,,,
vaeñ ,,20,,number,,numbers,,,,,
vaeñtiyaeñ ,,21,,number,,numbers,,,,,
vaeñ deu,,22,,number,,numbers,,,,,
traañt ,,30,,number,,numbers,,,,,
traañtiyaeñ,,31,,number,,numbers,,,,,
traañt deu,,32,,number,,numbers,,,,,
karaañt ,,40,,number,,numbers,,,,,
karaañtiyaeñ,,41,,number,,numbers,,,,,
karaañt deu,,42,,number,,numbers,,,,,
saeñkaañt ,,50,,number,,numbers,,,,,
saeñkaañtiyaeñ,,51,,number,,numbers,,,,,
saeñkaañt deu,,52,,number,,numbers,,,,,
swasaañt ,,60,,number,,numbers,,,,,
swasaañtiyaeñ,,61,,number,,numbers,,,,,
swasaañt deu,,62,,number,,numbers,,,,,
swasaañt jis ,,70,,number,,numbers,,,,,
swasaañtiooñz,,71,,number,,numbers,,,,,
swasaañtidooz,,72,,number,,numbers,,,,,
swasaañtitreez,,73,,number,,numbers,,,,,
swasaañtikatoorz,,74,,number,,numbers,,,,,
swasaañtikaeñz,,75,,number,,numbers,,,,,
swasaañtiseez,,76,,number,,numbers,,,,,
swasaañ jiset,,77,,number,,numbers,,,,,
swasaañ jiswit,,78,,number,,numbers,,,,,
swasaañ jisnaef,,79,,number,,numbers,,,,,
katravaeñ ,,80,,number,,numbers,,kaetravaeñ,,,
katravaeñtiyaeñ,,81,,number,,numbers,,kaetravaeñtiyaeñ,,,
katravaeñ deu,,82,,number,,numbers,,kaetravaeñ deu,,,
katravaeñ jis ,,90,,number,,numbers,,kaetravaeñ jis,,,
katravaeñtioonz,,91,,number,,numbers,,kaetravaeñtioonz,,,
katravaeñtidooz,,92,,number,,numbers,,kaetravaeñtidooz,,,
katravaeñtitreez,,93,,number,,numbers,,kaetravaeñtitreez,,,
katravaeñtikatoorz,,94,,number,,numbers,,kaetravaeñtikatoorz,,,
katravaeñtikaeñz,,95,,number,,numbers,,kaetravaeñtikaeñz,,,
katravaeñtiseez,,96,,number,,numbers,,kaetravaeñtiseez,,,
katravaeñ jiset,,97,,number,,numbers,,kaetravaeñ jiset,,,
katravaeñ jiswit,,98,,number,,numbers,,kaetravaeñ jiswit,,,
katravaeñ jisnaef,,99,,number,,numbers,,kaetravaeñ jisnaef,,,
saañ,,100,,number,,numbers,,,,,
saañtiyaeñ,,101,,number,,numbers,,,,,
saañ deu,,102,,number,,numbers,,,,,
saañ jis,,110,,number,,numbers,,,,,
mil,,1000,,number,,numbers,,,,,
ji mil(?),,10000,,number,,numbers,,,,,
saañ mil,,100000,,number,,numbers,,,,,
aeñ milyooñ ,,a million,,number,,numbers,,,,,
aeñ noombr,,a number,,number,,numbers,,,,,
aeñ beebii,,a baby,,noun,awa,people,,,,,
aeñ garsooñ,,a boy; a son,,noun,awa,people,,,,,
aeñ freer,,a brother,,noun,awa,people,,,,,
aeñ naañfaañ,,a child,,noun,awa,people,,,,,
en kuuzin,,a cousin (female),,noun,awa,people,,,,,
aeñ kuuzaeñ,,a cousin (male),,noun,awa,people,,,,,
en famii,,a family,,noun,awa,people,,,,,
aeñ paapaa,,a father,,noun,awa,people,,,,,
aeñ naamii,,a friend,,noun,awa,people,,,,,
en fii,,a girl; a daughter,,noun,awa,people,,,,,
aeñ marii,,a husband,,noun,awa,people,,,,,
aeñ nom,,a man,,noun,awa,people,,,,,
aeñ wazeeñ,,a neighbour,,noun,awa,people,,,,,
